Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,BALL OUT,,1,16471,658.84,16543,661.72,Player15,,0.8,0.13,1.03,0.2
Away,RECOVERY,INTERCEPTION,1,17316,692.64,17316,692.64,Player19,,0.94,0.51,,
Away,BALL OUT,HEAD,1,17316,692.64,17352,694.08,Player19,,0.94,0.51,1.04,0.67
Away,CHALLENGE,AERIAL-LOST,1,18252,730.08,18252,730.08,Player17,,0.89,0.47,,
Away,RECOVERY,,1,18558,742.32,18558,742.32,Player25,,0.96,0.6,,
Away,PASS,GOAL KICK,1,18558,742.32,18606,744.24,Player25,Player17,0.96,0.6,0.84,0.92
Away,PASS,,1,18725,749.0,18754,750.16,Player17,Player22,0.67,0.86,0.6,0.99
Away,PASS,,1,18793,751.72,18814,752.56,Player22,Player17,0.61,0.96,0.71,0.91
Away,PASS,,1,18878,755.12,18931,757.24,Player17,Player25,0.74,0.96,0.96,0.74
Away,BALL LOST,INTERCEPTION,1,18931,757.24,19018,760.72,Player25,,0.96,0.74,0.51,0.79
Away,RECOVERY,,1,19116,764.64,19116,764.64,Player19,,0.69,0.49,,
Away,PASS,,1,19214,768.56,19252,770.08,Player19,Player18,0.54,0.3,0.45,0.02
Away,PASS,,1,19269,770.76,19294,771.76,Player18,Player19,0.45,0.03,0.48,0.18
Away,PASS,,1,19348,773.92,19380,775.2,Player19,Player20,0.48,0.23,0.44,0.48
Away,PASS,,1,19380,775.2,19412,776.48,Player20,Player23,0.44,0.48,0.34,0.34
Away,PASS,DEEP BALL,1,19412,776.48,19470,778.8,Player23,Player24,0.34,0.34,0.13,0.37
Away,SHOT,ON TARGET-SAVED,1,19470,778.8,19483,779.32,Player24,,0.13,0.37,0.02,0.48
Away,RECOVERY,INTERCEPTION,1,19616,784.64,19616,784.64,Player20,,0.37,0.26,,
Away,BALL OUT,HEAD,1,19616,784.64,19709,788.36,Player20,,0.37,0.26,0.41,-0.04
Away,CHALLENGE,AERIAL-WON,1,20182,807.28,20182,807.28,Player15,,0.51,0.12,,
Away,RECOVERY,INTERCEPTION,1,20182,807.28,20182,807.28,Player15,,0.51,0.12,,
Away,PASS,HEAD,1,20182,807.28,20216,808.64,Player15,Player21,0.51,0.12,0.44,0.25
Away,PASS,,1,20293,811.72,20325,813.0,Player21,Player19,0.41,0.15,0.36,0.02
Away,BALL LOST,,1,20345,813.8,20363,814.52,Player19,,0.32,0.03,0.25,0.08
Away,RECOVERY,INTERCEPTION,1,20666,826.64,20666,826.64,Player17,,0.49,0.9,,
Away,PASS,,1,20666,826.64,20716,828.64,Player17,Player22,0.49,0.9,0.64,0.87
Away,PASS,,1,20834,833.36,20850,834.0,Player22,Player20,0.59,0.82,0.61,0.73
Away,PASS,,1,20904,836.16,20960,838.4,Player20,Player15,0.61,0.68,0.62,0.29
Away,PASS,,1,21063,842.52,21086,843.44,Player15,Player21,0.5,0.23,0.44,0.21
Away,PASS,,1,21128,845.12,21162,846.48,Player21,Player23,0.47,0.23,0.35,0.22
Away,PASS,,1,21294,851.76,21318,852.72,Player23,Player21,0.38,0.25,0.42,0.2
Away,PASS,,1,21362,854.48,21386,855.44,Player21,Player20,0.42,0.24,0.37,0.38
Away,PASS,,1,21413,856.52,21437,857.48,Player20,Player19,0.35,0.36,0.32,0.47
Away,BALL LOST,INTERCEPTION,1,21437,857.48,21473,858.92,Player19,,0.32,0.47,0.33,0.11
Away,RECOVERY,,1,21515,860.6,21515,860.6,Player19,,0.39,0.46,,
Away,PASS,,1,21515,860.6,21549,861.96,Player19,Player16,0.39,0.46,0.53,0.43
Away,PASS,,1,21580,863.2,21633,865.32,Player16,Player17,0.53,0.47,0.48,0.78
Away,PASS,,1,21716,868.64,21746,869.84,Player17,Player16,0.46,0.77,0.58,0.62
Away,PASS,,1,21811,872.44,21870,874.8,Player16,Player22,0.56,0.6,0.28,0.97
Away,BALL OUT,,1,21886,875.44,21983,879.32,Player22,,0.25,0.97,-0.04,0.73
Away,CHALLENGE,AERIAL-WON,1,22660,906.4,22660,906.4,Player22,,0.55,0.91,,
Away,RECOVERY,INTERCEPTION,1,22660,906.4,22660,906.4,Player22,,0.55,0.91,,
Away,BALL LOST,HEAD,1,22660,906.4,22663,906.52,Player22,,0.55,0.91,0.57,0.87
Away,RECOVERY,,1,22677,907.08,22677,907.08,Player22,,0.54,0.94,,
Away,BALL LOST,,1,22681,907.24,22737,909.48,Player22,,0.54,0.94,0.55,0.67
Away,RECOVERY,INTERCEPTION,1,22746,909.84,22746,909.84,Player21,,0.55,0.6,,
Away,PASS,,1,22746,909.84,22795,911.8,Player21,Player19,0.55,0.6,0.6,0.72
Away,PASS,,1,22795,911.8,22814,912.56,Player19,Player16,0.6,0.72,0.69,0.62
Away,PASS,,1,22814,912.56,22835,913.4,Player16,Player21,0.69,0.62,0.6,0.57
Away,PASS,,1,22996,919.84,23044,921.76,Player21,Player15,0.59,0.39,0.56,0.17
Away,PASS,,1,23061,922.44,23085,923.4,Player15,Player21,0.55,0.18,0.48,0.32
Away,PASS,,1,23146,925.84,23174,926.96,Player21,Player20,0.44,0.42,0.52,0.63
Away,PASS,,1,23193,927.72,23239,929.56,Player20,Player17,0.51,0.64,0.46,0.92
Away,PASS,,1,23305,932.2,23320,932.8,Player17,Player21,0.41,0.88,0.38,0.75
Away,PASS,,1,23320,932.8,23344,933.76,Player21,Player20,0.38,0.75,0.48,0.79
Away,PASS,,1,23344,933.76,23388,935.52,Player20,Player16,0.48,0.79,0.54,0.58
Away,PASS,,1,23500,940.0,23529,941.16,Player16,Player15,0.52,0.5,0.5,0.29
Away,PASS,,1,23578,943.12,23613,944.52,Player15,Player18,0.47,0.25,0.3,0.02
Away,PASS,,1,23683,947.32,23720,948.8,Player18,Player21,0.26,0.09,0.31,0.33
Away,PASS,,1,23729,949.16,23748,949.92,Player21,Player19,0.31,0.34,0.22,0.4
Away,PASS,,1,23748,949.92,23766,950.64,Player19,Player21,0.22,0.4,0.28,0.34
Away,CHALLENGE,GROUND-WON,1,23812,952.48,23812,952.48,Player21,,0.29,0.33,,
Away,BALL LOST,INTERCEPTION,1,23846,953.84,23862,954.48,Player21,,0.3,0.38,0.31,0.45
Away,RECOVERY,INTERCEPTION,1,23909,956.36,23909,956.36,Player19,,0.31,0.52,,
Away,PASS,,1,23909,956.36,23942,957.68,Player19,Player24,0.31,0.52,0.3,0.47
Away,PASS,,1,23958,958.32,23977,959.08,Player24,Player18,0.3,0.44,0.29,0.31
Away,BALL LOST,,1,24026,961.04,24036,961.44,Player18,,0.27,0.42,0.25,0.52
Away,RECOVERY,,1,24186,967.44,24186,967.44,Player16,,0.49,0.54,,
Away,PASS,,1,24186,967.44,24218,968.72,Player16,Player19,0.49,0.54,0.34,0.65
Away,PASS,,1,24218,968.72,24239,969.56,Player19,Player21,0.34,0.65,0.35,0.5
Away,PASS,,1,24266,970.64,24287,971.48,Player21,Player19,0.34,0.53,0.35,0.66
Away,PASS,,1,24308,972.32,24383,975.32,Player19,Player23,0.33,0.66,0.18,0.12
Away,PASS,,1,24393,975.72,24433,977.32,Player23,Player18,0.19,0.11,0.12,0.17
Away,BALL LOST,INTERCEPTION,1,24433,977.32,24486,979.44,Player18,,0.12,0.17,0.09,0.11
Away,CHALLENGE,GROUND-LOST,1,24448,977.92,24448,977.92,Player18,,0.1,0.16,,
Away,RECOVERY,,1,24556,982.24,24556,982.24,Player23,,0.18,0.05,,
Away,BALL OUT,,1,24556,982.24,24591,983.64,Player23,,0.18,0.05,0.29,-0.04
Away,CHALLENGE,GROUND-FAULT-LOST,1,25074,1002.96,25074,1002.96,Player20,,0.36,0.19,,
Away,RECOVERY,INTERCEPTION,1,25705,1028.2,25705,1028.2,Player22,,0.73,0.94,,
Away,BALL OUT,,1,25705,1028.2,25773,1030.92,Player22,,0.73,0.94,1.04,0.93
Away,RECOVERY,,1,27247,1089.88,27247,1089.88,Player25,,0.95,0.46,,
Away,BALL LOST,GOAL KICK-INTERCEPTION,1,27247,1089.88,27330,1093.2,Player25,,0.95,0.46,0.44,0.12
Away,CHALLENGE,AERIAL-LOST,1,27330,1093.2,27330,1093.2,Player18,,0.46,0.17,,
Away,RECOVERY,,1,27412,1096.48,27412,1096.48,Player21,,0.45,0.53,,
Away,PASS,,1,27412,1096.48,27456,1098.24,Player21,Player22,0.45,0.53,0.36,0.89
Away,PASS,,1,27534,1101.36,27557,1102.28,Player22,Player21,0.31,0.92,0.36,0.82
Away,PASS,,1,27578,1103.12,27601,1104.04,Player21,Player23,0.34,0.82,0.23,0.78
Away,PASS,,1,27609,1104.36,27624,1104.96,Player23,Player21,0.24,0.78,0.28,0.83
Away,PASS,,1,27657,1106.28,27673,1106.92,Player21,Player19,0.27,0.8,0.31,0.72
Away,BALL LOST,INTERCEPTION,1,27711,1108.44,27724,1108.96,Player19,,0.28,0.72,0.23,0.84
Away,RECOVERY,,1,28106,1124.24,28106,1124.24,Player25,,0.98,0.48,,
Away,PASS,,1,28339,1133.56,28407,1136.28,Player25,Player21,0.86,0.55,0.63,0.97
Away,BALL LOST,INTERCEPTION,1,28527,1141.08,28589,1143.56,Player21,,0.42,0.96,0.13,0.87
Away,SET PIECE,THROW IN,1,28788,1151.52,28788,1151.52,Player21,,,,,
Away,PASS,,1,28788,1151.52,28811,1152.44,Player21,Player22,0.19,1.01,0.25,0.98
Away,PASS,,1,28858,1154.32,28885,1155.4,Player22,Player19,0.26,0.95,0.29,0.77
Away,PASS,,1,28917,1156.68,28943,1157.72,Player19,Player22,0.28,0.79,0.26,0.95
Away,PASS,,1,28956,1158.24,28982,1159.28,Player22,Player21,0.26,0.94,0.17,0.98
Away,BALL LOST,CROSS-INTERCEPTION,1,29016,1160.64,29061,1162.44,Player21,,0.16,0.96,0.09,0.44
Away,RECOVERY,INTERCEPTION,1,29301,1172.04,29301,1172.04,Player18,,0.32,0.11,,
Away,PASS,,1,29337,1173.48,29367,1174.68,Player18,Player24,0.28,0.06,0.21,0.19
Away,PASS,,1,29394,1175.76,29420,1176.8,Player24,Player19,0.22,0.19,0.28,0.35
Away,PASS,,1,29468,1178.72,29517,1180.68,Player19,Player18,0.26,0.39,0.12,0.07
Away,BALL LOST,OFFSIDE,1,29517,1180.68,29517,1180.68,Player18,,0.12,0.07,,
Away,RECOVERY,INTERCEPTION,1,30442,1217.68,30442,1217.68,Player15,,0.67,0.21,,
Away,PASS,HEAD,1,30442,1217.68,30483,1219.32,Player15,Player19,0.67,0.21,0.61,0.34
Away,BALL LOST,INTERCEPTION,1,30503,1220.12,30517,1220.68,Player19,,0.61,0.37,0.62,0.38
Away,CHALLENGE,TACKLE-WON,1,30807,1232.28,30807,1232.28,Player19,,0.76,0.66,,
Away,RECOVERY,THEFT,1,30807,1232.28,30807,1232.28,Player19,,0.76,0.66,,
Away,PASS,,1,30807,1232.28,30831,1233.24,Player19,Player21,0.76,0.66,0.77,0.63
Away,BALL LOST,INTERCEPTION,1,30867,1234.68,30898,1235.92,Player21,,0.75,0.62,0.6,0.8
Away,RECOVERY,,1,31546,1261.84,31546,1261.84,Player25,,0.96,0.62,,
Away,PASS,GOAL KICK,1,31546,1261.84,31597,1263.88,Player25,Player17,0.96,0.62,0.89,0.88
Away,PASS,,1,31709,1268.36,31733,1269.32,Player17,Player20,0.69,0.88,0.65,0.67
Away,BALL LOST,,1,31738,1269.52,31743,1269.72,Player20,,0.64,0.67,0.66,0.69
Away,RECOVERY,,1,31820,1272.8,31820,1272.8,Player17,,0.77,0.87,,
Away,CHALLENGE,GROUND-FAULT-WON,1,31901,1276.04,31901,1276.04,Player17,,0.72,0.98,,
Away,FAULT RECEIVED,,1,31901,1276.04,31901,1276.04,Player17,,0.72,0.98,,
Away,SET PIECE,FREE KICK,1,32338,1293.52,32338,1293.52,Player17,,,,,
Away,PASS,,1,32338,1293.52,32397,1295.88,Player17,Player16,0.71,0.96,0.76,0.53
Away,PASS,,1,32434,1297.36,32467,1298.68,Player16,Player15,0.74,0.47,0.65,0.24
Away,PASS,,1,32619,1304.76,32657,1306.28,Player15,Player16,0.5,0.2,0.6,0.4
Away,PASS,,1,32739,1309.56,32809,1312.36,Player16,Player17,0.57,0.46,0.51,0.94
Away,BALL OUT,,1,32854,1314.16,32948,1317.92,Player17,,0.49,0.9,-0.04,0.87
Away,RECOVERY,INTERCEPTION,1,33723,1348.92,33723,1348.92,Player22,,0.57,0.86,,
Away,BALL LOST,HEAD-INTERCEPTION,1,33723,1348.92,33777,1351.08,Player22,,0.57,0.86,0.51,0.86
Away,RECOVERY,,1,33846,1353.84,33846,1353.84,Player20,,0.62,0.86,,
